FILE ID: 255118.p
TRUE = 1 | PRED = 0 | partner at goldman will make about $ 7 million to $ 8 million each this year , accord to people at the firm .
TRUE = 0 | PRED = 0 | UNK say the state can not mandate the return of everyone who flee because there be so many of UNK .
TRUE = 1 | PRED = 1 | ahead of the front , very mild air will be accompany by band of shower from louisiana to the western great lakes .


FILE ID: 501530.p
TRUE = 0 | PRED = 0 | the ncaa suspend university of connecticut basketball player kirk king for the season after review detail of a school investigation that find UNK accept an airline ticket from an agent .
TRUE = 1 | PRED = 1 | the region produce about 25 percent of brazil 's soybean crop , estimate this year at 26 million metric ton by the u.s. department of agriculture .
TRUE = 1 | PRED = 1 | soybean future rise amid renewed concern that dry weather in brazil could damage the country 's UNK at a time when u.s. reserve be low .
TRUE = 0 | PRED = 0 | school official say UNK plan to appeal the ncaa 's decision .
TRUE = 1 | PRED = 1 | soybean for march delivery rise 5.5 cent to $ 7.50 a bushel on the chicago board of trade , after rise as high as $ UNK earlier in the day .
TRUE = 1 | PRED = 1 | `` UNK be get to the critical grow stage where UNK need adequate moisture , and if UNK do n't get UNK next week UNK could cut back on yield , '' say analyst greg scheer at doane agricultural services in st. louis .
TRUE = 0 | PRED = 0 | moore , however , say UNK be unaware that UNK ticket come from an agent .
TRUE = 0 | PRED = 0 | although the agent be n't name , several report in connecticut newspaper have identify UNK as john lounsbury .
TRUE = 0 | PRED = 0 | teammate ricky moore be suspend for five game for UNK role in the incident .
TRUE = 1 | PRED = 1 | soybean price fall yesterday on forecast of rain this weekend in rio grande do sul .
TRUE = 0 | PRED = 0 | in UNK report , the ncaa say king receive the stiff penalty because UNK know the ticket come from an agent and understand UNK be a violation .
TRUE = 1 | PRED = 1 | the prospect of low world soybean supply and increase demand also push up price on future of soybean meal , which be use in livestock feed .
TRUE = 0 | PRED = 0 | `` kirk king make a mistake , '' say connecticut head coach jim calhoun .
TRUE = 0 | PRED = 0 | the report also state that king lie to investigator during the school 's internal probe last summer .
TRUE = 1 | PRED = 1 | with south american bean not yet harvest , the u.s. continue to be the top seller of soybean meal .
TRUE = 1 | PRED = 1 | while up to an inch of rain be forecast for later this week , trader be concerned that UNK wo n't materialize , force brazilian soybean farmer to lower UNK crop estimate .
TRUE = 0 | PRED = 0 | `` UNK do n't commit any great crime against mankind . ''


FILE ID: 52692.p
TRUE = 1 | PRED = 1 | yearly event such as literacy , math and science night , in which parent learn what UNK child be learn and family get snack and sandwich .
TRUE = 0 | PRED = 0 | the party recruit and prefer rich candidate , especially in senate race that can cost more than $ 10 million to make a credible run .
TRUE = 1 | PRED = 1 | but UNK also know UNK must rely heavily on the kid to get through to parent .
TRUE = 0 | PRED = 0 | `` there be a bias in that direction , UNK think , that be true of both party .
TRUE = 0 | PRED = 0 | and in the u.s. senate , there be no shortage of wealthy people .
TRUE = 1 | PRED = 1 | UNK begin talk to the kid , who eventually interpret for UNK parent and make introduction .
TRUE = 1 | PRED = 1 | now , paul know what will attract UNK family .
TRUE = 0 | PRED = 0 | a non - partisan study find that more than half of the 100 senator be multimillionaire .
TRUE = 0 | PRED = 0 | UNK come down to scarcity of money , '' say jonathan UNK , a democratic political consultant .
TRUE = 0 | PRED = 1 | corrects number in sixth graph :
TRUE = 1 | PRED = 1 | for two year , paul wait for the mom UNK see walk UNK kid to school to attend UNK monthly coffee .
TRUE = 1 | PRED = 1 | finally , UNK walk over to the neighborhood park .
TRUE = 1 | PRED = 1 | principal UNK paul know UNK must reach the parent to help the kid .
TRUE = 0 | PRED = 0 | despite UNK effort to distinguish UNK , sen. maria cantwell and UNK republican opponent , mike mcgavick , share this trait : both be multimillionaire who make UNK fortune during respite from prior political career .
TRUE = 0 | PRED = 0 | that be hardly a coincidence , political consultant and activist from both party say .
TRUE = 1 | PRED = 1 | since then , UNK have spend every day greet parent after school as UNK direct traffic and people on foot .


FILE ID: 365801.p
TRUE = 0 | PRED = 0 | or be UNK , like photograph , a mix of fact , error and wishful illusion ?
TRUE = 1 | PRED = 1 | a central issue be whether stewart receive any information that could be consider `` insider information '' and whether UNK be aware of UNK and use UNK in make a decision to sell .
TRUE = 0 | PRED = 0 | the same be true of pieter UNK ( UNK - 1665 ) , UNK contemporary and , in the view of many connoisseur , UNK equal , but who do n't enjoy UNK popular fame .
TRUE = 0 | PRED = 0 | but be UNK really so true to life ?
TRUE = 0 | PRED = 0 | thank to vermeer and rembrandt , art of the 17th - century dutch golden age be box - office magic .
TRUE = 1 | PRED = 1 | follow the conversation , merrill lynch sell UNK share of imclone stock for stewart , for a total of $ 227,000 .
TRUE = 0 | PRED = 0 | in fact , UNK be often refer to as an architectural portraitist , whose exact eye for measurement , light and detail give UNK picture the accuracy of scientific photograph .
TRUE = 1 | PRED = 1 | a spokesman for merrill lynch say such conversation be not record by the firm , though conversation in trading room be tap , as be some call to help center from client .
TRUE = 1 | PRED = 1 | both man be suspend with pay last week by merrill lynch , follow an internal company investigation that raise doubt about early statement that stewart and bacanovic have previously agree to sell UNK stock in imclone if UNK fall below $ 60 a share .
TRUE = 0 | PRED = 0 | a sociologist could probably come up with reason for this , but one be obvious : both artist be charismatic stylist and humane thinker .
TRUE = 0 | PRED = 0 | while UNK paint people , often family and friend , UNK paint building : church interior in which the human figure be insignificant or absent .
TRUE = 1 | PRED = 1 | UNK be not clear whether stewart 's regular broker at merrill lynch , peter bacanovic , or UNK assistant , douglas faneuil , handle the trade .
TRUE = 1 | PRED = 0 | but if bacanovic and stewart tell different story , UNK may be difficult to prove what be say and what be not .
TRUE = 1 | PRED = 1 | the securities and exchange commission 's investigation into martha stewart 's sale of imclone share last december be center on what UNK stockbroker may have tell UNK just before the stock be sell , a lawyer involve in the investigation say friday .
TRUE = 1 | PRED = 1 | stewart 's lawyer have tell congressional investigator that UNK speak to UNK broker by telephone on UNK 27 from an airport in san antonio where UNK jet have stop to refuel en route to a mexico vacation .
TRUE = 0 | PRED = 0 | subject matter be the variable here .
TRUE = 1 | PRED = 0 | one person familiar with the investigation say bacanovic be not in the office that day .
TRUE = 0 | PRED = 0 | hang UNK painting , open the door , crowd appear .


FILE ID: 435453.p
TRUE = 1 | PRED = 0 | manager mike scioscia insist UNK be not a platoon situation , as kennedy will get start against lefty .
TRUE = 1 | PRED = 0 | but UNK begin this season on the disabled list with a broken bone in UNK right hand and have start only 10 of 22 game .
TRUE = 1 | PRED = 0 | `` UNK have n't be play good .
TRUE = 1 | PRED = 0 | with the anaheim angels face UNK second consecutive left - handed starter thursday in cleveland 's chuck finley , left - handed hit second baseman adam kennedy be not in the starting lineup for the second game in a row in favor of david eckstein .
TRUE = 1 | PRED = 0 | but this season , kennedy be hit a paltry .182 against left - hander .
TRUE = 0 | PRED = 1 | but when UNK lose UNK job in a downsize in 1983 , UNK decide to go into business for UNK and buy mutt & jeff , a pork - rind manufacturer in east point , UNK , that be establish in 1976 and have about $ 2 million in annual sale .
TRUE = 0 | PRED = 1 | `` here UNK be a yankee in the south , and UNK do n't even know what a pork skin or pork rind be , '' schaff say .
TRUE = 0 | PRED = 1 | almost two decade later , with tourist write in for mutt & jeff `` wash pot and bacon rind '' after sample UNK on the way to florida , schaff be curious about e - commerce .
TRUE = 1 | PRED = 0 | `` yes and no , '' kennedy say when ask if UNK be surprised about not be in the starting lineup two day in a row .
TRUE = 0 | PRED = 1 | pork - rind manufacturing be a second career for timothy schaff , 56 , who until the early 1980 's be a customer service manager and field engineer for beckman instruments , a maker of medical testing equipment in fullerton , UNK .
TRUE = 1 | PRED = 0 | UNK ca n't expect to play if UNK ' m not play good . ''
TRUE = 0 | PRED = 1 | UNK see growth potential and something a big company could n't replicate . ''
TRUE = 0 | PRED = 1 | `` but UNK be a good company that make and deliver UNK own product that be unique from the major like frito - lay .
TRUE = 0 | PRED = 1 | amy zuckerman c. 2001 the new york times ( distribute by new york times special features )
TRUE = 0 | PRED = 1 | schaff , a long island native , move UNK family to richmond , UNK , and then to atlanta for UNK job with beckman .
TRUE = 1 | PRED = 0 | in fact , kennedy hit good last season against lefty ( .275 ) than UNK ( .263 ) .
TRUE = 1 | PRED = 0 | kennedy miss only 15 start last year , start 147 game and play in a total of 156 .


FILE ID: 246578.p
TRUE = 0 | PRED = 0 | the whole town shake . ''
TRUE = 0 | PRED = 1 | the enormous blast belch a tower globe of fire high over this city of 52,000 just west of new haven , level one of the complex 's three - unit , two - story building , destroy nearby car and blow out door and window of several neighbor building , police official say .
TRUE = 0 | PRED = 1 | west haven 's mayor , h. richard borer jr. , say UNK be at UNK office , look up direction to a golf course where UNK have plan to play on tuesday , when the blast occur .
TRUE = 1 | PRED = 0 | after throw for UNK yard and 15 touchdown in just seven start as a true freshman , the favorable comparison to peyton manning have already begin .
TRUE = 1 | PRED = 0 | the discussion be open , honest , with a lot of give and take on both side .
TRUE = 1 | PRED = 0 | and UNK be n't handle UNK academic properly .
TRUE = 1 | PRED = 0 | but UNK always end with fulmer deliver the same message .
TRUE = 0 | PRED = 1 | late tuesday night , state and city fire and police official have not determine the because of the blast _ which many resident initially mistake for an earthquake or a terrorist attack _ but be investigate rumor that neighbor have smell natural gas monday night .
TRUE = 1 | PRED = 0 | the rise sophomore from california have reach one of UNK major goal the previous fall by become the undisputed starting quarterback at tennessee .
TRUE = 0 | PRED = 0 | `` UNK shake city hall , '' UNK say , `` and UNK be mile and mile away . ''
TRUE = 1 | PRED = 0 | clausen be now `` the man , '' and UNK like UNK .
TRUE = 0 | PRED = 1 | an explosion at a condominium complex rock this shoreline city early on tuesday , kill two resident and injure several .
TRUE = 0 | PRED = 1 | `` car be just demolish , '' say officer domenic f. vinci of the west haven police , who arrive at the orchard hill complex minute after the explosion , which occur at 3:25 a.m. `` a really nice , big steel door be just crumple in half .
TRUE = 1 | PRED = 0 | UNK be n't go to the weight room as much as UNK should .
TRUE = 1 | PRED = 0 | but each week , just about the time clausen be feel really good about UNK , UNK would arrive for UNK regularly schedule meeting with head coach phillip fulmer .
TRUE = 1 | PRED = 0 | `` UNK be n't throw to UNK receiver as much as UNK should .
TRUE = 0 | PRED = 0 | fiberglass insulation be in the tree .
TRUE = 1 | PRED = 0 | UNK be the summer of 2001 and , for casey clausen , life could n't be good .
TRUE = 1 | PRED = 0 | `` UNK be do just enough to get by , and UNK tell UNK so , '' fulmer say .


FILE ID: 131308.p
TRUE = 0 | PRED = 0 | first , the driver reach through the car 's window to use a punch pad to choose the kind of fuel and how UNK will be pay for .
TRUE = 1 | PRED = 1 | rock hard again tuesday night by the ottawa senators , the reel new jersey devils may soon get roll out of the stanley cup playoff , perhaps as early as thursday night .
TRUE = 1 | PRED = 1 | the player continue in the same vein , take unnecessary penalty through the evening and then shout at the referee who call UNK .
TRUE = 1 | PRED = 1 | the devils make the score respectable and may have generate some momentum for game 5 when UNK score two goal in the final six minute .
TRUE = 0 | PRED = 0 | part automatic teller machine and part `` lose in space '' robot , the shell smart pump , as UNK be call , aim to fill UNK up without the driver ever have to get out of the car .
TRUE = 1 | PRED = 1 | daniel alfredsson score three goal for the underdog senator , who be boost by a roaring capacity crowd in the corel center .
TRUE = 0 | PRED = 0 | then the robotic pump swing into action .
TRUE = 1 | PRED = 1 | UNK coach , jacques lemaire , begin the day by shout at a new york newspaper reporter whose recent column have displease UNK .
TRUE = 1 | PRED = 1 | alfredsson also score once in the first period and once in the second .
TRUE = 0 | PRED = 0 | use sophisticated robotic technology , the smart pump identify the make and model of the car that pull up to UNK , UNK developer say .
TRUE = 0 | PRED = 0 | a fill - up will take about two minute for the average vehicle , shell official say .
TRUE = 1 | PRED = 1 | as have be the case for most of this series , the devils seem a step slower than UNK young foe and unable to maintain UNK composure , even after take a 1 - 0 lead .
TRUE = 0 | PRED = 0 | -0 -
TRUE = 0 | PRED = 0 | if UNK believe that self - service gasoline station still require a little too much of , well , UNK , consider what the shell oil co. be field testing in sacramento , UNK .
TRUE = 0 | PRED = 0 | UNK open the car 's fuel door and pump the fuel through a special gasoline cap provide by shell .
TRUE = 1 | PRED = 1 | alfredsson score UNK third goal at the five - minute mark of the third period , beat devil goalie martin brodeur with a wrist shoot between the skate after power up the right board past devils defenseman scott niedermayer .
TRUE = 1 | PRED = 1 | the senators , the eighth and lowest - seeded team in the eastern conference , beat the conference champion devils by 4 - 3 to take a three - game - to - one lead in UNK four - of - seven - game first - round series .


FILE ID: 436002.p
TRUE = 1 | PRED = 0 | mafia member deliver to UNK the 10 percent street tax collect from drug dealer and prostitute .
TRUE = 1 | PRED = 0 | as a so - call general of the texas mexican mafia , robert `` beaver '' perez be by most account a powerful man .
TRUE = 0 | PRED = 1 | `` UNK see this as be like a heavyweight championship fight , '' astros general manager gerry hunsicker say .
TRUE = 1 | PRED = 0 | UNK even exercise UNK authority to give the `` green light '' _ mafia code for order a colleague 's execution .
TRUE = 0 | PRED = 1 | bako have to clearly distance UNK from mitch to win that job at the start of the season . ''
TRUE = 1 | PRED = 0 | `` this be no john gotti , '' say blair mcleod , UNK court - appoint attorney .
TRUE = 0 | PRED = 1 | but one UNK do have have be a knock - down , drag - out .
TRUE = 1 | PRED = 0 | then UNK distribute a share of that to imprison mafia member around the state .
TRUE = 1 | PRED = 0 | but for all UNK influence , painstakingly illustrate in the six - week trial , the `` general '' be in many way just another guy from san antonio 's poor , mostly mexican - american west side .
TRUE = 0 | PRED = 1 | `` UNK do n't usually beat the current champ unless UNK knock UNK out .
TRUE = 0 | PRED = 1 | meluskey
TRUE = 0 | PRED = 1 | in one corner there be mitch meluskey , who have the inside track to the second catcher 's spot on the roster , along with tony eusebio .
TRUE = 0 | PRED = 1 | not surprisingly , the astros do n't have many .
TRUE = 1 | PRED = 0 | on wednesday , perez be one of 10 texas mexican mafia member find guilty of racketeering in a federal case that accuse UNK of plot 15 murder , include the execution of five people .
TRUE = 1 | PRED = 0 | the twice married father of eight be live in subsidized housing at the time of UNK arrest .
TRUE = 0 | PRED = 1 | across the ring stand paul bako , whose only hope be to match meluskey blow for blow _ and then some .


FILE ID: 435437.p
TRUE = 0 | PRED = 1 | houston chronicle
TRUE = 1 | PRED = 0 | se trata de un UNK de metal , de cuatro metro de altura , UNK metro de largo , y cinco UNK de peso .
TRUE = 0 | PRED = 1 | pittsburgh _ the astros welcome back right fielder moises alou on monday while two other player schedule visit to the doctor .
TRUE = 1 | PRED = 0 | el robot de UNK se llama dino .
TRUE = 1 | PRED = 0 | cuando se acerca a un grupo de persona , se UNK hacia ella , y luego se UNK , como si UNK de UNK que hace : si las UNK , si las UNK , o si las UNK .
TRUE = 1 | PRED = 0 | se trata del robot mas grande jama creado .
TRUE = 1 | PRED = 0 | UNK su propia fuente de energia que le permite UNK de manera autonoma una vez recibe UNK UNK .
TRUE = 1 | PRED = 0 | la UNK UNK UNK algunos paso , gira , y comienza a bailar , UNK de izquierda a derecha .
TRUE = 1 | PRED = 0 | el robot se UNK por el piso con la gracia de un gato .
TRUE = 0 | PRED = 1 | the club have consider activate UNK prior to the start of a three - game series monday with the pirates .
TRUE = 0 | PRED = 1 | `` UNK do n't make any sense to force the issue , so UNK will use the time to have UNK re - evaluate and make sure there be nothing serious in there , '' general manager gerry hunsicker say .
TRUE = 0 | PRED = 1 | meanwhile , reliever doug brocail , who have miss the first two week of the season with a strained right hamstring , fly back to houston and will be evaluate today after experience discomfort in UNK right elbow .
TRUE = 0 | PRED = 1 | brocail join the team in pittsburgh late sunday night after complete a minor - league rehabilitation assignment over the weekend in round rock .
TRUE = 0 | PRED = 1 | as expect , alou be activate off the 15-day disabled list after miss the first 12 game of the season with a strained right calf .
TRUE = 1 | PRED = 0 | frank UNK esta UNK de UNK su nuevo robot .
TRUE = 0 | PRED = 1 | to make room for alou , the astros place reserve infielder bill spiers on the dl with low back problem .


FILE ID: 27858.p
TRUE = 1 | PRED = 0 | the bond be price to yield 7.22 percent , or 80 basis point more than the 30-year treasury bond .
TRUE = 0 | PRED = 1 | before long , carter , who plant UNK firmly in the moderate minority of the southern baptist convention , have drift into a full - throated critique of christian fundamentalism and UNK attitude toward lesbian and gay man , woman and jews .
TRUE = 0 | PRED = 1 | on homosexuality , UNK say : `` UNK ' m not endorse UNK .
TRUE = 1 | PRED = 0 | a money loser as recently as 1993 , the company have re - emerge as a leader in the computer industry under the leadership of chairman louis gerstner .
TRUE = 1 | PRED = 0 | international business machines corp. sell $ 850 million of debt that wo n't mature for 100 year , in the large - ever sale of century bond .
TRUE = 1 | PRED = 0 | as yield fall this autumn , ibm figure that if UNK could sell 100-year debt at a 7 to 7.25 percent rate , `` that would be a terrific opportunity , '' say jeffrey serkes , treasurer of the armonk , new york - base computer maker .
TRUE = 1 | PRED = 1 | rate `` hit UNK bogey , and UNK jump on UNK . ''
TRUE = 0 | PRED = 1 | UNK make UNK uncomfortable .
TRUE = 1 | PRED = 0 | ibm , know among investor as a savvy borrower , sell the bond at a time when treasury yield , which company use to set UNK borrowing rate , have fall to UNK low since march .
TRUE = 0 | PRED = 1 | but to single UNK out just because UNK do n't do UNK and make a crusade out of UNK , to UNK , be not christian . ''
TRUE = 0 | PRED = 1 | on jews and god : `` UNK be really grieve when UNK be president to hear the president of the southern baptist convention say that god do n't hear the prayer of a jew .
TRUE = 0 | PRED = 1 | in an interview after church , carter say UNK `` could easily accept a new moderate baptist denomination '' but say UNK would not recommend such a move because UNK inevitably would lead to split in church like maranatha .
TRUE = 0 | PRED = 1 | to UNK , that be embarrassing . ''
TRUE = 0 | PRED = 1 | on the view of some fundamentalist that those who do not accept christ be condemn to hell : `` UNK can not imagine an innocent person be deprive of god 's eternal blessing because UNK do n't have a chance to accept christ . ''
TRUE = 1 | PRED = 0 | the bond sale , ibm 's first 100-year issue , be another milestone on the road to recovery for a company some investor think may fold a few year ago .
TRUE = 1 | PRED = 0 | the sale surpass bellsouth corp. 's $ 500 million sale of 100-year debt in november 1995 .


FILE ID: 82204.p
TRUE = 1 | PRED = 0 | the senate overwhelmingly defeat a 30-cent - a - pack increase and debate finally stall in the house after increase of 64 cent to nearly $ 5 a pack be propose .
TRUE = 1 | PRED = 0 | but no one expect UNK to surface before the legislative session end on april 7 .
TRUE = 1 | PRED = 0 | as debate intensify in the state capital of annapolis last week , there seem to be no support in the senate for an increase of more than 15 cent .
TRUE = 0 | PRED = 1 | the shake - up , which give russia UNK most aggressively market - orient government since 1992 , be aim primarily at revive a stall economic program that have create fertile ground for yeltsin 's political opponent .
TRUE = 1 | PRED = 0 | gov. parris n. glendening of maryland have want to double the cigarette tax of 36 cent a pack , which would have give maryland the high cigarette tax among tobacco - grow state and the fourth high in the country behind washington ( 82.5 cent a pack ) , massachusetts ( 76 ) and michigan ( 75 ) .
TRUE = 1 | PRED = 0 | the governor be keenly disappointed .
TRUE = 0 | PRED = 1 | yeltsin 's most important move be name boris nemtsov , 37 , the dynamic governor of a region regard as a showplace of economic change , to serve as one of two first deputy prime minister .
TRUE = 0 | PRED = 1 | streamline the hierarchy , UNK cut the number of deputy prime minister .
TRUE = 0 | PRED = 1 | and UNK abolish several ministry , include the ministry of industry and ministry of defense industry , which have be obstacle to economic reform .
TRUE = 0 | PRED = 1 | president boris yeltsin fill the senior rank of the russian cabinet with economic reformer monday , make good on UNK pledge to overhaul UNK government and quicken the pace of economic change .
TRUE = 0 | PRED = 1 | but come three day before a summit meeting with president clinton in helsinki , the change be also likely to enhance russia 's plea for a great role in international economic affair .
TRUE = 1 | PRED = 0 | by friday night , propose increase in the tobacco tax be back in the senate and house committee , where UNK be theoretically still under consideration .
TRUE = 1 | PRED = 0 | in the house , some lawmaker from tobacco - grow district propose increase so high that UNK have no chance of pass _ which be just the point .
TRUE = 1 | PRED = 0 | `` however , the odd be obviously against UNK . ''
TRUE = 1 | PRED = 0 | `` nothing be ever dead until the final banging of the gavel on the last day , '' UNK say .
TRUE = 1 | PRED = 0 | the tobacco industry , which have endure some setback of late , win a victory last week in maryland that have more to do with local politic than with national health issue .
TRUE = 0 | PRED = 1 | together with the appointment last week of anatoly chubais , 41 , as the chief architect of economic change , the move give vital responsibility for economic and social policy to two of the country 's most vigorous and most pro - market official .
TRUE = 0 | PRED = 0 | UNK be not the only move to strengthen the reformer ' hand .
TRUE = 0 | PRED = 1 | the president elevate other ally of chubais , the other first deputy prime minister .


FILE ID: 67011.p
TRUE = 1 | PRED = 1 | `` UNK think about $ 150 million would be enough to prepare UNK athlete from the present moment until the olympics .
TRUE = 1 | PRED = 1 | `` yesterday UNK do n't have a single ruble , and just a couple thousand dollar , '' anatoly i. UNK , the `` chief of mission '' of the russian olympic committee in atlanta , say at a news conference wednesday .
TRUE = 1 | PRED = 0 | that would be normal , '' UNK say when ask how much UNK want to raise .
TRUE = 0 | PRED = 0 | a fourth executive , debra j. murray , former vice president and treasurer , plead guilty in february to charge relate to the scheme .
TRUE = 1 | PRED = 0 | `` but UNK can squeeze UNK out with half that much .
TRUE = 1 | PRED = 1 | UNK say the russian committee have agreement with the country 's leading sport federation to conduct training in the year lead up to the summer game , but at the moment UNK can not pay the federation .
TRUE = 0 | PRED = 0 | UNK be name with the three other in the sec complaint .
TRUE = 0 | PRED = 0 | the federal indictment , hand up tuesday by a grand jury and unseal wednesday in us district court in boston , allege the executive for two year routinely record phony profit on sale that have not yet closed or be never make .
TRUE = 0 | PRED = 0 | david r. earl , 55 , of westford , UNK , former vice president of operation , be charge with make false statement to auditor .
TRUE = 0 | PRED = 0 | three former executive of kurzweil applied intelligence inc. have be accuse of mislead UNK fraudulently inflate revenue and hide UNK scheme from auditor .
TRUE = 1 | PRED = 0 | although UNK wo n't be able to develop the science and medicine , the thing that be suffer most of all . ''
TRUE = 0 | PRED = 0 | all three wednesday , through UNK attorney , deny the charge .
TRUE = 0 | PRED = 0 | in parallel action , the us securities and exchange commission bring civil security fraud charge against the three executive plus another former executive of kurzweil , a waltham , UNK company that make voice - recognition system .
TRUE = 1 | PRED = 1 | russia 's olympic committee , strain to put together UNK first wholly russian team for next year 's summer game in atlanta , be virtually bankrupt .
TRUE = 1 | PRED = 0 | UNK tick off a string of accumulate problem , most of UNK leave over from the breakup of the soviet union , but in the end UNK optimistically predict enough fund somehow will be collect .
TRUE = 0 | PRED = 0 | bernard f. bradstreet , 50 , of sudbury , UNK , kurzweil 's former president , and thomas e. campbell , 61 , of acton , UNK , the company 's former vice president of sale , be accuse of conspiracy , security fraud and make false statement to auditor .


FILE ID: 553411.p
TRUE = 0 | PRED = 0 | as part of a faculty exchange program , UNK also be study chinese culture .
TRUE = 1 | PRED = 1 | after wander through a mucky tent compound that house ethnic albanians in macedonia and albania last weekend , a group of house member return to say UNK be awe - strike by the scale of human suffering trigger by the kosovo war .
TRUE = 1 | PRED = 0 | UNK could be a major health problem . ''
TRUE = 1 | PRED = 1 | u.s. rep. tony hall ( d - dayton , ohio ) be the ranking democrat on the trip lead by majority leader richard armey of texas , which return sunday night after visit one refugee camp , two air base and nato headquarters in brussels .
TRUE = 1 | PRED = 0 | `` a lot of people be talk about the winter , but UNK better worry about the summer .
TRUE = 0 | PRED = 0 | shanghai , china _ UNK teach two class of first - year student wednesday .
TRUE = 1 | PRED = 1 | UNK say the u.s. must plan to spend more for humanitarian relief .
TRUE = 0 | PRED = 0 | UNK , like student from all the major university , have be involve in the demonstration ( against nato ) , and do generally believe the bombing ( of china 's embassy in belgrade last week ) be intentional .
TRUE = 0 | PRED = 0 | the time reference be in shanghai time , which be 15 hour ahead of seattle time .
TRUE = 1 | PRED = 1 | and even as UNK express fear at the prospect of refugee still live in tent when winter come , UNK say UNK be pleased by the optimism america 's strained military still hold about fulfil UNK mission to drive serb force from kosovo .
TRUE = 0 | PRED = 0 | in the wake of nato 's accidental bombing of china 's embassy in belgrade , yugoslavia , last friday , UNK describe the tension in shanghai in e - mail message to the seattle post - intelligencer .
TRUE = 0 | PRED = 0 | here be excerpt .
TRUE = 1 | PRED = 1 | hall , a veteran of refugee camp visit around the world , say condition at the crowded camp in skopje , macedonia , be bad but orderly .
